380	223	1
394	202	1
419	198	1
447	215	2
469	186	3
493	156	3
497	201	3
566	276	4
617	132	4
610	115	4
587	116	4
586	132	4
592	151	4
571	112	4
426	226	2
669	214	4
576	302	4
575	285	4
548	310	4
570	317	4
593	301	4
584	267	4
558	273	4
546	282	4
589	312	4
588	291	4
603	290	4
678	196	4
712	190	4
734	248	4
703	247	4
677	252	4
685	224	4
718	216	4
706	229	4
405	219	1
446	233	2
663	226	4
512	204	3
578	97	4
595	102	4
607	136	4
594	281	4
559	291	4
465	238	2
473	222	3
653	234	4
637	212	4
492	236	3
482	199	3
468	166	3
446	171	3
445	186	3
464	205	3
431	254	2
690	179	4
570	132	4
582	152	4
592	120	4
599	138	4
607	155	4
698	205	4
649	180	4
658	195	4
656	210	4
506	217	3
510	184	3
490	179	3
675	243	4
693	261	4
713	263	4
727	235	4
693	240	4
