380	223	1
394	202	1
419	198	1
447	215	1
426	226	1
669	214	2
690	179	2
698	205	2
678	196	2
712	190	2
734	248	2
703	247	2
677	252	2
685	224	2
718	216	2
706	229	2
405	219	1
446	233	1
492	236	1
482	199	1
468	166	1
446	171	1
445	186	1
464	205	1
431	254	1
465	238	1
473	222	1
653	234	2
637	212	2
649	180	2
658	195	2
656	210	2
506	217	1
510	184	1
490	179	1
675	243	2
693	261	2
713	263	2
727	235	2
693	240	2
663	226	2
512	204	1
469	186	1
493	156	1
497	201	1
603	214	2
617	191	2
617	191	2
598	192	2
598	170	2
612	156	2
632	169	2
630	202	2
531	214	1
537	196	1
530	170	1
517	161	1
552	179	1
553	206	1
527	234	1
502	250	1
508	230	1
487	215	1
487	215	1
469	256	1
494	200	1
526	187	1
545	194	1
614	206	2
619	229	2
639	236	2
649	246	2
650	161	2
670	165	2
500	171	1
431	207	1
428	182	1
613	179	2
640	194	2
666	183	2
694	219	2
536	154	1
517	150	1
481	165	1
